4 , 4
1 , 1
8 , 7
8 , 7
2 , 2
1 , 4
4 , 5
9 , 7
5 , 6
6 , 0
4 , 1
7 , 4
4 , 8
8 , 8
0 , 4
0 , 4
5 , 9
3 , 2
9 , 6
6 , 5
6 , 6
1 , 2
2 , 8
8 , 6
0 , 3
7 , 0
5 , 2
3 , 1
1 , 0
8 , 5
0 , 2
6 , 7
9 , 1
1 , 0
3 , 8
1 , 2
5 , 5
6 , 1
3 , 8
2 , 8
6 , 5
5 , 3
1 , 1
6 , 5
2 , 8
5 , 7
8 , 6
0 , 5
2 , 5
4 , 5
4 , 8
4 , 3
9 , 9
3 , 6
9 , 9
3 , 3
2 , 8
6 , 2
5 , 4
5 , 5
8 , 1
5 , 2
6 , 9
5 , 3
4 , 5
9 , 4
8 , 7
7 , 6
8 , 7
0 , 8
5 , 8
8 , 2
5 , 5
3 , 9
5 , 6
2 , 0
3 , 4
8 , 9
9 , 6
1 , 2
8 , 9
9 , 1
9 , 3
7 , 3
9 , 2
9 , 7
7 , 5
6 , 9
6 , 4
6 , 8
2 , 5
1 , 5
5 , 5
4 , 2
7 , 3
8 , 3
1 , 5
7 , 0
4 , 1
6 , 4
